hanyu,pinyin,mean
一,yī,one
在,zài,exist
有,yǒu,have
个,gè,indivual
我,wǒ,I
不,bù,No
这,zhè,this
他,tā,he
也,yě,also
就,jiù,At once
人,rén,people
都,dōu,All
说,shuō,explain
而,ér,and
们,men,them
你,nǐ,you
了,le,Got it
要,yào,want
会,huì,meeting
对,duì,right
及,jí,and
和,hé,and
与,yǔ,and
以,yǐ,by
很,hěn,very
种,zhǒng,kind
的,de,of
大,dà,big
能,néng,able
着,zhe,With
她,tā,she
那,nà,That
上,shàng,superior
但,dàn,but
年,nián,Year
还,hái,return
可以,kěyǐ,Can
最,zuì,most
自己,zìjǐ,Own
为,wéi,for
来,lái,Come
所,suǒ,Place
他们,tāmen,them
两,liǎng,two
各,gè,each
可,kě,Can
为,wéi,for
或,huò,or
好,hǎo,good
等,děng,wait
又,yòu,again
将,jiāng,Will
因为,yīnwèi,because
于,yú,At
由,yóu,Depend on
从,cóng,from
更,gèng,Even
被,bèi,quilt
才,cái,talent
已,yǐ,already
者,zhě,who
每,měi,Every
次,cì,Second-rate
把,bǎ,Bundle
三,sān,three
什么,shénme,What
问题,wèntí,question
其,qí,That
让,ràng,let
此,cǐ,this
做,zuò,Do
再,zài,Again
所以,suǒyǐ,so
只,zhǐ,Only
则,zé,but
台湾,Táiwān,Taiwan
却,què,but
并,bìng,and
位,wèi,Bit
想,xiǎng,think
去,qù,go
呢,ne,Woolen cloth
学生,xuéshēng,student
表示,biǎoshì,express
到,dào,arrive
公司,gōngsī,company
将,jiāng,Will
如果,rúguǒ,if
社会,shèhuì,society
看,kàn,look
小,xiǎo,Small
天,tiān,sky
因此,yīncǐ,therefore
新,xīn,new
但是,dànshì,but
它,tā,it
中,zhōng,middle
使,shǐ,make
工作,gōngzuò,Work
全,quán,Complete
觉得,juéde,feel
使用,shǐyòng,use
这些,zhèxiē,These
里,lǐ,inside
并,bìng,and
由于,yóuyú,because
时候,shíhòu,when
知道,zhīdào,Know
这样,zhèyàng,so
一,yī,one
认为,rènwéi,think
时间,shíjiān,time
事,shì,thing
过,guò,Pass
向,xiàng,Towards
可能,kěnéng,possible
中国,Zhōngguó,China
美国,Měiguó,USA
到,dào,arrive
和,hé,and
几,jǐ,Several
系统,xìtǒng,system
政府,zhèngfǔ,government
大家,dàjiā,Everyone
国家,guójiā,nation
许多,xǔduō,many
生活,shēnghuó,Life
跟,gēn,and
已经,yǐjīng,already
大学,dàxué,University
研究,yánjiù,Research
因,yīn,because
本,běn,Book
二,èr,two
活动,huódòng,Activity
该,gāi,Should
世界,shìjiè,world
应,yīng,answer
四,sì,Four
希望,xīwàng,hope
方式,fāngshì,Way
内,nèi,Inside
项,xiàng,item
啊,ā,ah
下,xià,Down
环境,huánjìng,environment
一些,yīxiē,Some
必须,bìxū,must
文化,wénhuà,culture
高,gāo,high
孩子,háizi,child
没有,méiyǒu,No
不能,bùnéng,cannot
如,rú,like
开始,kāishǐ,start
元,yuán,Yuan
不同,bùtóng,different
仍,réng,still
网路,wǎnglù,network
日本,rìběn,Japan
用,yòng,use
中心,zhōngxīn,center
来,lái,Come
对,duì,right
虽然,suīrán,Although
重要,zhòngyào,important
地方,dìfāng,place
进行,jìnxíng,conduct
关系,guānxì,relation
市场,shìchǎng,market
太,tài,too
老师,lǎoshī,teacher
提供,tígōng,supply
学校,xuéxiào,School
应该,yīnggāi,should
指出,zhǐchū,point out
经济,jīngjì,economy
其他,qítā,other
家,jiā,Home
发展,fāzhǎn,develop
教育,jiàoyū,educate
成为,chéngwéi,become
多,duō,many
非常,fēicháng,Very
便,biàn,convenient
方面,fāngmiàn,aspect
很多,hěnduō,a lot of
然后,ránhòu,Then
未,wèi,not yet
发现,fāxiàn,Discover
电脑,diànnǎo,computer
一样,yīyàng,Same
而且,érqiě,and
心,xīn,Heart
不过,búguò,but
无法,wúfǎ,Unable
企业,qǐyè,enterprise
正,zhèng,just
服务,fúwù,Serve
较,jiào,compare
不会,búhuì,Won't
台湾,táiwān,Taiwan
曾,céng,ever
吗,mā,?
空间,kōngjiān,space
看到,kàndào,See
五,wǔ,five
如何,rúhé,how
国内,guónèi,domestic
们,men,them
无,wú,none
对于,duìyú,for
以及,yǐjí,as well as
之后,zhīhòu,after
可是,kěshì,But
当,dāng,when
人员,rényuán,personnel
比,bǐ,Compare
先,xiān,First
产品,chǎnpǐn,product
资讯,zīxùn,Information
资料,zīliào,material
比较,bǐjiào,Compare
先生,xiānshēng,gentlemen
地,dì,land
除了,chúle,Apart from
大陆,dàlù,mainland
需要,xūyào,need
像,xiàng,picture
在,zài,exist
给,gěi,Give
岁,suì,age
请,qǐng,please
月,yuè,moon
些,xiē,some
名,míng,name
另,lìng,Other
若,ruò,like
亦,yì,as well as
地区,dìqū,area
技术,jìshù,technology
至,zhì,to
特别,tèbié,special
其实,qíshí,actually
国际,guójì,internationality
不要,búyào,don't want
发生,fāshēng,occur
参加,cānjiā,join
一定,yīdìng,must
其中,qízhōng,in
问,wèn,ask
台北,táiběi,Taipei
包括,bāokuò,include
讲,jiǎng,speak
造成,zàochéng,cause
看,kàn,look
像,xiàng,picture
常,cháng,often
即,jí,Right now
喜欢,xǐhuān,like
去,qù,go
没,méi,without
出现,chūxiàn,Appear
政治,zhèngzhì,politics
话,huà,talk
走,zǒu,Walk
单位,dānwèi,unit
一直,yīzhí,Always
吧,ba,Bar
是否,shìfǒu,whether
当然,dāngrán,certainly
整,zhěng,all
处理,chǔlǐ,deal with
历史,lìshǐ,history
了解,liǎojiě,learn
那,nà,That
怎么,zěnme,how
机会,jīhuì,Chance
家,jiā,Home
听,tīng,listen
所有,suǒyǒu,all
只要,zhǐyào,if only
朋友,péngyou,friend
令,lìng,make
甚至,shènzhì,even
用,yòng,use
真,zhēn,real
六,liù,six
呀,ya,ah
情况,qíngkuàng,Condition
还是,háishì,still
钱,qián,money
方法,fāngfǎ,method
点,diǎn,point
任何,rènhé,any
经验,jīngyàn,experience
艺术,yìshù,Art
你们,nǐmen,you
十,shí,ten
主要,zhǔyào,main
妈妈,māmā,Mother
增加,zēngjiā,Increase
提出,tíchū,propose
为什么,wèishéme,Why
以,yǐ,by
您,nín,you
计画,jìhuà,plan
作,zuò,do
利用,lìyòng,use
东西,dōngxī,thing
在,zài,exist
条,tiáo,strip
设计,shèjì,design
找,zhǎo,try to find
之间,zhījiān,between
成长,chéngzhǎng,growing up
能够,nénggòu,can
决定,juédìng,Decide
学习,xuéxí,study
谁,shéi,who
见,jiàn,See
半,bàn,Half
时代,shídài,era
完成,wánchéng,Finish
带,dài,bring
相当,xiāngdāng,quite
同学,tóngxué,classmate
件,jiàn,pieces
能力,nénglì,ability
别人,biérén,other people
生命,shēngmìng,life
下,xià,Down
来,lái,Come
场,cháng,field
会议,huìyì,Meeting
容易,róngyì,easy
开发,kāifā,develop
民众,mínzhòng,people
事情,shìqíng,matter
书,shū,Book
事实,shìshí,fact
有关,yǒuguān,related
自,zì,since
组织,zǔzhī,organize
言,yán,Word
多,duō,many
爱,ài,like
建立,jiànlì,Establish
相关,xiāngguān,Related
均,jūn,all
产生,chǎnshēng,produce
多,duō,many
业者,yèzhě,industry
解决,jiějué,solve
完全,wánquán,completely
的话,dehuà,words
接受,jiēshòu,accept
知,zhī,Know
约,yuē,about
一般,yībān,generally
推动,tuīdòng,promote
过程,guòchéng,process
管理,guǎnlǐ,manage
功能,gōngnéng,Function
手,shǒu,hand
打,dǎ,beat
水,shuǐ,water
要求,yāoqiú,Require
小朋友,xiǎopéngyǒu,kid
教授,jiàoshòu,professor
难,nán,Disaster
我国,wǒguó,our country
告诉,gàosù,Tell
内容,nèiróng,content
结果,jiéguǒ,result
调查,diàochá,investigation
家庭,jiātíng,family
成立,chénglì,established
选择,xuǎnzé,choose
经营,jīngyíng,business
然而,ránér,However
父母,fùmǔ,parents
写,xiě,Write
人类,rénlèi,human
至于,zhìyū,As for
买,mǎi,purchase
尤其,yóuqí,especially
配合,pèihé,Cooperate
进入,jìnrù,Enter
例如,lìrú,For example
得,děi,have to
讨论,tǎolùn,discuss
依,yī,according to
作品,zuòpǐn,work
情形,qíngxíng,situation
资源,zīyuán,resource
原因,yuányīn,reason
啦,lā,La
妳,nǐ,you
运动,yùndòng,sports
观念,guānniàn,concept
给,gěi,Give
软体,ruǎntǐ,software
品质,pǐnzhí,quality
经过,jīngguò,go through
如此,rúcǐ,in this way
嗯,ēn,Um
精神,jīngshén,Spirit
影响,yǐngxiǎng,Influence
之,zhī,Of
过,guò,Pass
好像,hǎoxiàng,like
成,chéng,become
参与,cānyū,participate
以后,yǐhòu,after
于是,yūshì,then
部分,bùfèn,part
另外,lìngwài,in addition
公园,gōngyuán,garden
透过,tòuguò,through
训练,xùnliàn,train
努力,nǔlì,effort
研究,yánjiù,Research
具有,jùyǒu,have
共同,gòngtóng,common
所谓,suǒwèi,so-called
下,xià,Down
行为,xíngwéi,Behavior
合作,hézuò,cooperate
经,jīng,through
合作,hézuò,cooperate
目标,mùbiāo,Target
起来,qǐlái,stand up
考虑,kǎolù,consider
长,cháng,long
意见,yìjiàn,Opinion
办法,bànfǎ,way
音乐,yīnyuè,music
连,lián,even
受,shòu,by
厂商,chǎngshāng,Manufacturer
只,zhī,Only
受到,shòudào,receive
一切,yīqiè,everything
或是,huòshì,Or
中央,zhōngyāng,central
某,mǒu,certain
女性,nǔxìng,female
教学,jiāoxué,teaching
极,jí,pole
获得,huòdé,get
真的,zhēnde,real
路,lù,road
来,lái,Come
快,kuài,quick
国小,guóxiǎo,Elementary school
部份,bùfèn,part
工程,gōngchéng,project
女人,nǔrén,woman
举行,jǔxíng,hold
句,jù,sentence
只是,zhǐshì,only
段,duàn,part
根据,gēnjù,according to
现象,xiànxiàng,Phenomenon
人民,rénmín,people
土地,tǔdì,land
面对,miànduì,face
注意,zhùyì,Notice
这里,zhèlǐ,here
新闻,xīnwén,news
继续,jìxù,continue
相信,xiāngxìn,believe
政策,zhèngcè,policy
变成,biànchéng,become
计划,jìhuà,plan
强调,qiángdiào,emphasize
学,xué,study
人士,rénshì,person
前,qián,forward
前,qián,forward
存在,cúnzài,exist
制度,zhìdù,system
意义,yìyì,significance
代表,dàibiǎo,represent
课程,kèchéng,course
该,gāi,Should
没,méi,without
至,zhì,to
需求,xūqiú,need
人生,rénshēng,Life
那些,nǎxiē,Those ones
成功,chénggōng,success
爸爸,bàbà,dad
产业,chǎnyè,industry
负责,fùzé,Responsible
民间,mínjiān,folk
虽,suī,although
影响,yǐngxiǎng,Influence
直接,zhíjiē,direct
几乎,jīhū,almost
分,fèn,point
实际,shíjì,actual
团体,tuántǐ,group
价值,jiàzhí,value
使得,shǐdé,make
类,lèi,kind
形成,xíngchéng,form
科技,kējì,science and technology
这么,zhème,so
当,dāng,when
七,qī,seven
不但,búdàn,Not only
往,wǎng,Past
本身,běnshēn,itself
标准,biāozhǔn,standard
似乎,sìhū,seem
应用,yìngyòng,application
或者,huòzhě,or
动物,dòngwù,animal
电话,diànhuà,Telephone
态度,tàidù,manner
建设,jiànshè,construction
事业,shìyè,cause
老,lǎo,old
那么,nàmo,So
常常,chángcháng,Frequent
字,zì,Character
坐,zuò,sit
举办,jǔbàn,hold
自我,zìwǒ,self
有的,yǒude,some
具,jù,Tool
目的,mùdì,Purpose
块,kuài,piece
条件,tiáojiàn,condition
即使,jíshǐ,even though
好,hǎo,good
十分,shífēn,very
多少,duōshǎo,How many
放,fàng,put
又,yòu,again
电影,diànyǐng,Movie
科学,kēxué,science
执行,zhíxíng,implement
边,biān,side
委员会,wěiyuánhuì,committee
沟通,gōutōng,communicate
开,kāi,open
一起,yīqǐ,Together
张,zhāng,open
针对,zhēnduì,against
员工,yuángōng,staff
引起,yǐnqǐ,cause
自然,zìrán,nature
那么,nàmo,So
安全,ānquán,Safety
总统,zǒngtǒng,president
此外,cǐwài,also
拥有,yǒngyǒu,have
并且,bìngqiě,and
事件,shìjiàn,event
设计,shèjì,design
研究所,yánjiùsuǒ,graduate School
语言,yǔyán,language
严重,yánzhòng,serious
故事,gùshì,story
学术,xuéshù,academic
片,piàn,piece
设备,shèbèi,equipment
之外,zhīwài,outside
车,chē,car
基本,jīběn,Basic
实在,shízài,really
久,jiǔ,Long
套,tào,set
达到,dádào,achieve
改善,gǎishàn,improve
死,sǐ,die
结构,jiégòu,structure
住,zhù,live
皆,jiē,all
改变,gǎibiàn,Change
拿,ná,take
小组,xiǎozǔ,group
支持,zhīchí,support
座,zuò,seat
医院,yīyuàn,Hospital
既,jì,now that
仅,jǐn,only
值得,zhíde,worth
学者,xuézhě,scholar
八,bā,eight
交通,jiāotōng,transportation
阶段,jiēduàn,stage
就是,jiùshì,that is
申请,shēnqǐng,Apply
主管,zhǔguǎn,manager
申请,shēnqǐng,Apply
同,tóng,same
感觉,gǎnjué,Feel
电视,diànshì,television
母亲,mǔqīn,Mother
嘛,má,Well
香港,xiānggǎng,Hongkong
记者,jìzhě,reporter
压力,yālì,pressure
快乐,kuàilè,hapiness
喝,hē,drink
敢,gǎn,dare
院,yuàn,hospital
也许,yěxǔ,Maybe
人们,rénmen,people
谈,tán,talk
生产,shēngchǎn,Production
怕,pà,Afraid
就,jiù,At once
身体,shēntǐ,Body
规定,guīdìng,Regulation
程度,chéngdù,degree
积极,jījí,positive
知识,zhīshì,Knowledge
作为,zuòwéi,as
机构,jīgòu,mechanism
而是,érshì,Rather
鼓励,gǔlì,encourage
角色,jiǎosè,Role
状况,zhuàngkuàng,situation
专家,zhuānjiā,expert
据,jù,according to
清楚,qīngchǔ,clear
不仅,bùjǐn,not only
比赛,bǐsài,Contest
玩,wán,Play
效果,xiàoguǒ,Effect
越,yuè,cross
保护,bǎohù,Protect
共,gòng,common
开放,kāifàng,open
附近,fùjìn,nearby
上,shàng,superior
父亲,fùqīn,Father
专业,zhuānyè,major
经费,jīngfèi,Funding
曾经,céngjīng,once
工作,gōngzuò,Work
愿意,yuànyì,willing
分别,fēnbié,respectively
重视,zhòngshì,Pay attention to
不少,bùshǎo,Quite a few
